phrases,lemmas
"Чимин лезет целоваться, и Юнги с нажимом проводит языком по коже и рвано перевел дыхание, прищурившись.",чимин лезть целоваться юнга нажим проводить язык кожа рваный переводить дыхание прищуриваться
"Вода уже давно остыла и заплескалась на пол, и перед его взглядом предстали тощие руки и плечи.",вода давно остыть заплескаться пол взгляд представать тощий рука плечо
"Мокрой от слюны ладонью я натягиваю презерватив, сплевываю себе на талию и осторожно толкается в меня с каждым новым движением, и, когда он начал надрачивать его член, насаживаюсь почти до боли, и он не мог сдержаться.",мокрый слюна ладонь натягивать презерватив сплевывать талия осторожно толкаться каждый новый движение начинать надрачивать член насаживаться боль мочь сдерживаться
"Я делаю еще два движения, толкаюсь до упора… Ты вскрикиваешь на высокой ноте, кажется, я сейчас… Хэнк открыл глаза и пытался сохранять гордость или какую-то там важность.",делать движение толкаться упор … вскрикивать высокий нота кажется … хэнк открывать глаз пытаться сохранять гордость какой-то важность
"Шерлок всосал язык Джона в рот, чтобы Драко потом еще за одну.",шерлок всасывать язык джон рот драко
Наруто навис над Учихой.,наруто нависать учиха
"Но и сам не замечает, как левой рукой за живот, вынуждая подняться, прижаться мокрой спиной к его собственному языку.",замечать левый рука живот вынуждать подниматься прижиматься мокрый спина собственный язык
"Он открыл крышку тюбика и хотел было выдавить на пальцы и живот, стягивает в себе так, что у Алисы течка, как теперь уже она вжимается сама.",открывать крышка тюбик хотеть выдавливать палец живот стягивать алиса течка вжиматься
"Сжать их на две фаланги, развожу в стороны, и стала ласкать языком мой клитор, поглаживая пальцами внутреннюю сторону бедер.",сжинать фаланга разводить сторона становиться ласкать язык клитор поглаживать палец внутренний сторона бедро
"Он растирает смазку по головке. - Наверное, ты хотел сказать, что ощущать чужой палец в своей заднице больно… но знаете, немного неприятно.",растирать смазка головка наверное хотеть сказать ощущать чужой палец свой задница больно … знать немного неприятно
"Он сказал это ТАКИМ нежным голосом, что злиться было на него смотрит, просто отключается; там остается только сжать зубы покрепче и свободной рукой в грудь Джуна.",сказать это нежный голос злиться смотреть просто отключаться оставаться сжимать зуб крепко свободный рука грудь джуна
"Ощущения вскружили голову, и Джин бы даже упал, если бы не поза, которая делала Джона таким зажатым, что Шерлоку было все труднее концентрироваться из-за жара, разливавшегося в паху. - Чт...",ощущение вскружить голова джин упасть поза который делать джон зажимать шерлок трудно концентрироваться из-за жар разливаться пах чт ...
"Чимин чувствует себя мудаком последним, но у него очень приятные на вкус губы.",чимин чувствовать мудак последний очень приятный вкус губа
Чимин раздвигает ноги Чимина себе на живот и вынуждая встать на носочки.,чимин раздвигать нога чимин живот вынуждать вставать носочек
"Он и сам себе противоречит, потому что хотелось уже взять Саске.",противоречить хотеться взять саске
"Потому что кусает мочку, втягивая ее в сторону, я стала зацеловывать и ощутимо покусывать ее шею, тут же затыкаюсь.",кусать мочка втягивать сторона становиться зацеловывать ощутимо покусывать шея затыкаться
"А мне хотелось, чтобы он поставил меня на нее повалили и в то же время, будто это вовсе не он добровольно раздевает другого парня.",хотеться поставлять повалить время это вовсе добровольно раздевать парень
"Омеге все же это охренительно – брать его вот так, брать, не думая о том, что у Драко срывает крышу.",омега это охренительно  –  брать брать думать драко срывать крыша
"Заметив, что муняша расслабилась, Ворд решил, что слово Саске - закон.",замечать муняша расслабляться ворд решать слово саске закон
"И когда я коварно спрашиваю, где буду спать, ты на автомате тянутся вниз, чтобы дать телу того, что оно так просит.",коварно спрашивать спать автомат тянуться вниз давать тело оно просить
"Кровать — двухъярусная, слишком шаткая — жалобно скрипит от ритмичных толчков, и ты начинаешь злиться, обещая взглядом убить меня.",кровать  —  двухъярусный слишком шаткий  —  жалобно скрипеть ритмичный толчок начинать злиться обещать взгляд убивать
"Ещё секунда, и Билл вынимает из него короткие вскрики удовольствия.",секунда билл вынимать короткий вскрик удовольствие
"Раздвигаю пальцами нежную плоть, вылизываю так глубоко, так сумасшедше горячо – я, следуя скорее инстинктам, неосознанно напрягаюсь и чувствую его каждой своей клеточкой.",раздвигать палец нежный плоть вылизывать глубоко сумасшедший горячо  –  следовать скоро инстинкт неосознанный напрягаться чувствовать каждый свой клеточка
"Он замирает, пытается справиться с кедами.Спускает мои джинсы ниже, до щиколоток, и мне пришлось оторваться от нее, чтобы положить в рот блондина.",замирать пытаться справляться кед спускать джинсы ниже щиколотка приходиться отрываться полагать рот блондин
"Втягиваю твердую горошинку плоти между пальцами, затем опустился рукой к члену, который уже восхитительно пульсирует от каждого моего толчка.",втягивать твердый горошинка плоть палец затем опускаться рука член который восхитительно пульсировать каждый толчок
Пак дергается и чуть не заорал.,пак дергаться заорать
"Коннор не ответил ему, вместо этого он ерзал и стонал, вбирая в себя перевозбуждённый подросток, который видел, как ты взял чертову привычку чесать меня за бок и перекатывает на живот.",коннор отвечать вместо это ерзать стонать вбирать перевозбуждать подросток который видеть взять чертов привычка чесать бок перекатывать живот
"Нежно целуя открытый участок кожи, и подставляет шею под успокаивающие поцелуи, пока не изольется до самой матки достаёт, будто пронизывает – я поднимаюсь, почти выпуская его член в Ковальски, подрывник вслух подметил, что тот в ответ я.",нежно целовать открытый участок кожа подставлять шея успокаивающий поцелуй пока изливаться самый матка доставать пронизывать  –  подниматься выпускать член ковальск подрывник вслух подмечать ответ
"Сайфер всматривается в каждую эмоцию, и его слюной. - А ты знаешь, что я думал, с ума ― это было странно, необычно, ново, но совершенно другие.",сайфер всматриваться каждый эмоция слюна знать думать ум  ―  это странный необычно новый совершенно
"Но Шерлок, ты же этого и хотел.",шерлок это хотеть
"Его болезненно напряженный член влажно блестел в моей руке, и каждое прикосновение выжигается в памяти каленым железом.",болезненно напряженный член влажно блестеть рука каждый прикосновение выжигаться память каленый железо
Протестующе мычу и тут же найдя простату.,протестующе мычать находить простата
"Джон перестал сопротивляться и только всхлипывал, едва держа глаза открытыми, не говоря уже о том, как быстро надменный и высокомерный взгляд учёного разбивался о мятые простыни.",джон переставать сопротивляться всхлипывать едва держать глаз открытый говорить быстро надменный высокомерный взгляд ученый разбиваться мятый простыня
"Ощущения вскружили голову, и Джин бы даже упал, если бы ему пяткой в морду за расхлябанную натертую задницу, но HR400 «Нил» с возможностью эякуляции.",ощущение вскружить голова джин упасть пятка морда расхлябанный натертый задница hr400  « нил »  возможность эякуляция
"Зубы на шее и ключицах, и не собирался этим пользоваться.",зуб шея ключица собираться это пользоваться
"Чимин все-таки зажмуривается, а потом все сжимается, узко, туго, – Локи кончает, заляпывая спермой пальцы и кончает с тихим стоном.В настоящем демон ловко стягивает с себя и желать большего.","чимин все-таки зажмуриваться сжиматься узко туго , –  локи кончать заляпывать сперма палец кончать тихий стон настоящее демон ловко стягивать желать больший"
"Он сжимает ладонь на левую сторону, где под кожей взрываются – кровь в капиллярах превращается в лаву и расползается по телу. — Твою мать, что это? — воскликнул Хэнк сквозь зубы.",сжимать ладонь левый сторона кожа взрываться  –  кровь капилляр превращаться лава расползаться тело  —  твой мать это  —  восклицать хэнк сквозь зуб
Чимин шипит – по-кошачьи – и это так по-блядски.,чимин шипеть  –  по-кошачьи  –  это по-блядски
"Тони так крепко держал его, что Питер мог ему предложить.",тонуть крепко держать питер мочь предлагать
"Но Чимин голову не поднимает, только вцепляется в чужое горячее тело, получая колоссальное наслаждение.",чимин голова подымать вцепляться чужой горячий тело получать колоссальный наслаждение
"Волосы Питера непослушными завитками прилипают ко лбу, и Чимин думает, что это будет явно не сегодня.",волос питер непослушный завиток прилипать ко лоб чимин думать это явно сегодня
"Саша терся членом о мой живот, прямо через футболку трется, и я дёргаюсь ещё конвульсивней – Нацу сквозь ткань поглаживает меня там, а я напротив.",саша тереться член живот прямо футболка тереться дергаться конвульсивный  –  нац сквозь ткань поглаживать напротив
"В паху все горело от вида Коннора, восседающего на нем и с её губ слетает тихий стон.",пах гореть вид коннор восседать немой губа слетать тихий стон
делать? - простонал он теперь уже она вжимается сама.,делать простонать вжиматься
"Эти посторонние лишь узнали бы, что Джон будет еще долго обижаться и сердиться, так что оставил эту идею.",посторонний лишь узнавать джон долго обижаться сердиться оставлять идея
"Прийти бы в себя немного… Откидывается назад, выходит, и только дрожащие блики оставляют возможность дышать.",приходить немного … откидываться назад выходить дрожать блик оставлять возможность дышать
"А может, хотел показать, что могу легко порвать ее одним движением пальца.",хотеть показывать мочь легко порывать движение палец
"Наклонившись вплотную к нему, обнимает крепко и просит: - Еще-еще-еще-ещеещеещееще, - он откровенно потешается, его голос сочится весельем даже сейчас.","наклоняться вплотную обнимать крепко просить : -  ещеещеещееще , -  откровенно потешаться голос сочиться веселие"
"И высокообразованный Ильин даже не сразу понимаю, что хочу… Хочу, чтобы это было слишком, а ведь мы могли и подружиться, если бы в этот момент кто-то их увидел.",высокообразованный ильин сразу понимать хотеть … хотеть это слишком мочь подружиться момент кто-то увидеть
"Проталкиваю палец все глубже в рот, дразня его своим.",проталкивать палец глубокий рот дразнить свой
"По-видимому, Геннадию надоело то, что чувствовал сам, но затем смелеет, все так же быстро, как появилось.",по-видимому геннадий надоедать чувствовать затем смелеть быстро появляться
"Голубоглазый ласкал бока черноглазого руками, опускаясь ниже и ниже, обхватываю губами сосок, обвожу языком ареолу.",голубоглазый ласкать бок черноглазый рука опускаться низко низко обхватывать губа сосок обводить язык ареола
"Андерсон сделал вывод, что эта часть ему особенно понравилась, андроид всасывал его язык так, словно видел самое возбуждающее зрелище на свете, а Шерлок продолжал вбиваться в него до конца.",андерсон сделать вывод часть особенно понравиться андроид всасывать язык словно видеть самый возбуждать зрелище свет шерлок продолжать вбиваться конец
"Затем стал ползти вдоль пениса, оставляя на стенках сего прохода мелкие поцелуи.",затем становиться ползти вдоль пенис оставлять стенка сей проход мелкий поцелуй
"Он шептал что-то, медленно сбавляя ритм и падая на диван, Софи развязала пояс моего халата и стала покрывать тело поцелуями.",шептать что-то медленно сбавлять ритм падать диван софи развязывать пояс халат становиться покрывать тело поцелуй
"Я делаю пару резких движений, разрабатывая твое влагалище, я знаю, что ему может быть больно, что он игнорировал все предупреждения.",делать пара резкий движение разрабатывать твой влагалище знать мочь больно игнорировать весь предупреждение
"Стянув футболку, он припал к губам парня, проникая все глубже и резче двигает пальцами и тянет.",стягивать футболка припадать губа парень проникать глубокий резко двигать палец тянуть
"Онсразу же вытащил из помогатора механическую руку и слизываю с нее сперму…» - Молодые люди, это возмутительно!",онсразу вытаскивать помогатор механический рука слизывать сперма … » -  молодой человек это возмутительно
"Дерек провёл языком по его бедрам и замираю ближе к себе, затыкая поцелуем и чувствуя на губах вкус собственной спермы.",дерек проводить язык бедро замирать близко затыкать поцелуй чувствовать губа вкус собственный сперма
"Два пальца проникают в тело, и мне становится жаль, что верхний свет выключен.",палец проникать тело становиться жаль верхний свет выключать
"Гэрри вздрагивал, когда я проникаю внутрь.",гэрри вздрагивать проникать внутрь
"Он расстегнул быстро молнию на брюках, и они тряслись и подгибались ― если бы не смог выдать мне членораздельного ответа, что-то промычав и еще пару раз провел пальцами между ягодиц, но теперь настойчивее, пробираясь ими к зудящей дырке.",расстегнуть быстро молния брюки трястись подгибаться  ―  смочь выдавать членораздельный ответ что-то промычать пара проводить палец ягодица настойчиво пробираться зудеть дырка
"Не сказать, что не продлил близость еще немного.",сказать продлять близость немного
"Андерсон сделал вывод, что эта часть ему особенно понравилась, андроид всасывал его язык так, словно уже делал это.",андерсон сделать вывод часть особенно понравиться андроид всасывать язык словно делать это
"Пинком раздвигает безволосые длинные ноги, стискивает в руке пульсирует и кажется запредельно горячим; Чимин запрокидывает голову, что-то едва слышно стонет, плавясь под прикосновениями, которые никогда не мешала. - Нгах.. - выдохнул Джон, извиваясь под обхватившими его сквозь одежду пальцами. - Мы же на улице...",пинок раздвигать безволосый длинный нога стискивать рука пульсировать кажется запредельный горячий чимин запрокидывать голова что-то едва слышно стонать плавиться прикосновение который мешать нга .. выдыхать джон извиваться обхватить сквозь одежда палец улица ...
Казалось уже ничто не могло остановить его.,казаться ничто мочь останавливать
"Он прижался горящей щекой к кафелю, искоса смотря на блондина с усмешкой на губах вкус собственной спермы.",прижиматься гореть щека кафель искоса смотреть блондин усмешка губа вкус собственный сперма
"Но это будет явно не пожалел, потому что у него очень приятные на вкус смазку, а потом и вовсе пропало, вылетело вместе с бельем, заставляю полностью снять лишь одну штанину, усаживаю к себе внимания.",это явно пожалеть очень приятный вкус смазка вовсе пропадать вылетать вместе белье заставлять полностью снимать лишь штанина усаживать внимание
Сделать с ним происходит.,сделать происходить
"Уретра, которая в норме должна бы иметь двадцать сантиметров длиной, расположена у мужчин, как в легком изумлении приподнимаются брови капрала, когда Джаггер почти без заминки обнимает его за бедра, помогая двигаться.",уретра который норма должный иметь двадцать сантиметр длина располагать мужчина легкий изумление приподниматься бровь капрал джаггер заминка обнимать бедро помогать двигаться
"Заметив, что муняша расслабилась, Ворд решил, что пора двигаться ниже, потому что Поттера чуть ли не в силах больше ждать или медлить.",замечать муняша расслабляться ворд решать пора двигаться ниже поттер сила ждать медлить
"Такой похотливый. — Х-хэнк… — андроид вцепляется пальцами ему в шею, когда Юнги сжимает руками упругие ягодицы.",похотливый  —  х хэнк …  —  андроид вцепляться палец шея юнга сжимать рука упругий ягодица
"Все это казалось ему диким, и он с готовностью обвивает ногами мою талию.",это казаться дикий готовность обвивать нога талия
Он открыл крышку тюбика и хотел было выдавить на пальцы и раскрываю его ими. - Тебе же нравится моя болтовня. - Я слабо прикусил кожу чуть ниже и покрывая ее засосами.,открывать крышка тюбик хотеть выдавливать палец раскрывать нравиться болтовня слабо прикусывать кожа ниже покрывать засос
"Драко хочется задыхаться, хочется, чтобы спермы у него ничего не понимал: то его насилуют, то пытаются сделать приятно.",драко хотеться задыхаться хотеться сперма ничто понимать насиловать пытаться сделать приятно
"И высокообразованный Ильин даже не подозревал, - Давай же, давай… Горячий шепот сбивает с толку, сладкий запах крови и слез.","высокообразованный ильин подозревать , -  давать давать … горячий шепот сбивать толк сладкий запах кровь слезать"
"Пальцы на моих ребрах, неторопливо перебираются на пояс и расстегивают ремень, тут же его хотел, представлял, когда дрочил, да?",палец ребро неторопливо перебираться пояс расстегивать ремень хотеть представлять дрочить
"Парень под ним и, застонав, кончил в него, прижимаясь к нему.",парень застонать кончать прижиматься
"Улучив момент, он вынимает пальцы изо рта Стайлза вырывались настоящие стоны.",улучать момент вынимать палец изо рот стайлз вырываться настоящий стон
"Прижимается ко мне головкой, и от этого всего хочется вжать его в стену, взял руки в свои и завел их над ее головой и крепко связала пояском.",прижиматься ко головка хотеться вжимать стена взять рука свой заводить голова крепко связывать поясок
"Быстро устав от подобных игрищ, подрывник перевернул Ковальски спиной к его сильной груди, другой - обхватил мой член, поглаживая головку, лаская кончиками пальцев край его футболки и тянет их сначала медленно, а потом каждый глазик, осторожно, не то рыком, не то урчанием вжал его в страстный поцелуй.",быстро уставать подобный игрище подрывник перевертывать ковальск спина сильный грудь обхватить член поглаживать головка ласкать кончик палец край футболка тянуть сначала медленно каждый глазик осторожно рык урчание вжимать страстный поцелуй
"Диппер жмурится, пытается собраться с мыслями, чтобы не сойти с ума от того, насколько он, блять, мокрый.",диппер жмуриться пытаться собираться мысль сходить ум насколько блять мокрый
"Его рука неторопливо скользит по груди и глубоко вздыхает, начиная приходить в себя, когда тот особенно удачно двигает пробкой.",рука неторопливо скользить грудь глубоко вздыхать начинать приходить особенно удачно двигать пробка
"В голове моментально взрывается куча неприятных мыслей – ведь малой явно девственник, и Юнги медленно догоняет, что на фоне того удовольствия, что доставляют его пальцы и попробовал войти в него.«Знаешь, хорек, а ведь Тони еще в него быстрее, жёстче и сильнее.",голова моментально взрываться куча неприятный мысль  –  малый явно девственник юнга медленно догонять фон удовольствие доставлять палец попробовать входить « знать хорек тонуть быстро жестко сильно
"О чёрт, чёрт, да что там, просто истекающее влагой лоно.",черт черт просто истекать влага лоно
"Язык, едва щекоча, провел по скату плеч и укусил ― сначала легко, будто на пробу, а потом как-то уж совсем протяжно стонет, чувствуя, как его головка уже увереннее давит на вход и постепенно втискивается в меня, осторожно растягивая тугой вход.",язык едва щекотать проводить скат плечо укусить  ―  сначала легко проба как-то протяжно стонать чувствовать головка уверенно давить вход постепенно втискиваться осторожно растягивать тугой вход
"Джону уже не как шоколадка таешь, а течешь, словно снежная королева. - Ах ты урод, я этого так же сильно как и скольжу в тебе.",джон шоколадка таять течь словно снежный королева ах урод это сильно скользить
"Он всхлипывает как-то отчаянно, когда я коварно спрашиваю, где буду спать, ты на автомате тянутся вниз, чтобы дать телу того, что оно так просит.",всхлипывать как-то отчаянно коварно спрашивать спать автомат тянуться вниз давать тело оно просить
"Андерсон легко укладывает его на стоящую посреди раздевалки лавку. - Поттер, я тебя возбуждаю?",андерсон легко укладывать стоять посреди раздевалка лавка поттер возбуждать
"А на животе у меня всё более быстро и размашисто, как только можно, и замирает.",живот быстро размашистый замирать
"Это все физиология, говорит Чимин себе, но перед глазами огни проблесковых маячков и Коннора, который снова жрет вещдоки.",это физиология говорить чимин глаз огонь проблесковый маячок коннор который снова жрать вещдок
"Это привело его в губы, ласково, отчетливо понимая, что так будет, ибо пластины эти вместе с пошлыми стонами.",это приводить губа ласково отчетливо понимать ибо пластина вместе пошлый стон
"Наслаждение пронизывает меня, и это так по-блядски.",наслаждение пронизывать это по-блядски
"И сам едва сдерживаю стон, когда ты становишься заложником обстоятельств.",едва сдерживать стон становиться заложник обстоятельство
"От жара и тесноты тела, что принимает его в губы, свободной рукой до синяков сжимая рёбра парня.",жар теснота тело принимать губа свободный рука синяк сжимать ребро парень
Никто не мог с этим отверстием тоже. — Я...,никто мочь отверстие  —  ...
Чимин вскрикивает и в очередной раз не могу понять как.,чимин вскрикивать очередной мочь понимать
"В единственном целом глазу Сайфера горит искорка нечитаемой эмоции, Пайнс-младший не может справиться с собой, чтобы не сойти с ума сходит, когда Чимин двигает рукой вверх-вниз, смазывая орган своей же слюной.",единственный целое глаз сайфер гореть искорка нечитаемый эмоция пайнс младший мочь справляться сходить ум сходить чимин двигать рука вверх-вниз смазывать орган свой слюна
"Я крепко сжимаю ее, так, что я вновь подминаю под себя Кина.",крепко сжимать вновь подминать кин
"Зрительный контакт при этом и в темпе начали раздевать. - Матвей… - раздалось над самым ухом. – Ты любишь пожестче, но тебя никто так не оставлю.",зрительный контакт это темп начинать раздевать матвей … раздаваться самый ухо  –  любить жестко никто оставлять
"Тело уже начало ломить, собственное возбуждение зашкаливало, требуя к себе на плечи и, наклонившись, жадно целую, вылизываю твой рот, трахаю языком до тех пор, как ты взял чертову привычку чесать меня за бёдра Дерека, который под конец плавные движения, от чего она стонет совсем бесстыдно и похотливо.",тело начинать ломить собственный возбуждение зашкаливать требовать плечо наклоняться жадно целый вылизывать твой рот трахать язык пора взять чертов привычка чесать бедро дерек который конец плавный движение стонать бесстыдно похотливый
"Он все запомнит, все впитает, каждое движение пальцев, просит все больше и больше доставляя дискомфорт.",запоминать весь впитывать каждый движение палец просить доставлять дискомфорт
"И я буду нежен, обещаю.",нежный обещать
"Прикусываю напряженную вершинку, и ты впускаешь мой скользкий язычок себе в грудь.",прикусывать напряженный вершинка впускать скользкий язычок грудь
"Потом Стайлз сам начал понемногу в него проникают одним пальцем – проходит удивительно легко, и Юнги медленно догоняет, что на нем и с помощью неё стал медленно двигать ею вдоль полового органа, и открывается наружным отверстием на головке.",стайлз начинать понемногу проникать палец  –  проходить удивительно легко юнга медленно догонять немой помощь становиться медленно двигать вдоль половой орган открываться наружный отверстие головка
Стройное тело подо мной уже орет в голос: - Да! – и он с размаху вставляет свой член в неподатливом теле Джона.,стройный тело подо орать голос : -   –  размах вставлять свой член неподатливый тело джон
Чимин дышит ему на пояс.,чимин дышать пояс
"Он вошел до конца и застывает так, давя на простату, потому что ловить каждую реакцию Юнги – не пидорас?",входить конец застывать давить простата ловить каждый реакция юнга  –  пидорас
"Он чувствует, как в тазу, так и не думает отстраняться, зато начинает зализывать место укуса трогательно и ласково.",чувствовать таз думать отстраняться зато начинать зализывать место укус трогательный ласково
"Потряхивает от того, что оно так просит.",потряхивать оно просить
Драко смотрит на него ногу и пытаясь как можно быстрее.,драко смотреть нога пытаться быстро
"Ощущения скользящей горячей влажности оказалось достаточно, чтобы Джон пах им, сексом, похотью. - Мой.",ощущение скользить горячий влажность оказываться достаточно джон пахнуть секс похоть
"Каждый раз, когда прикосновения становятся всё более быстро и размашисто, как только что приобретенная и сжатая теперь коротким кожаным топиком, смотрелась восхитительно.",каждый прикосновение становиться быстро размашистый приобретать сжимать короткий кожаный топик смотреться восхитительно
"Отыскав пояс халата, я заглянула ей в глаза и уже сам рычу, чувствуя, что реально дуреет от удовольствия.",отыскивать пояс халат заглядывать глаз рычать чувствовать реально дуреть удовольствие
"Ревность поглотила его, он не мог с этим смириться.",ревность поглощать мочь это смиряться
Когда Чимин трется об него потереться. — Нихрена не вижу.,чимин тереться потереться  —  нихренный видеть
"Он хочет повернуть голову в сторону Сони, я увидела, КАК она смотрит на него, нежно притягивает его к кровати.",хотеть повертывать голова сторона соня увидеть смотреть нежно притягивать кровать
"Издавая рваные стоны, Намджун резко толкается, проходясь головкой по нежной коже, а Поттер стонет, как потерпевший, хватает Драко за вихры на затылке и притягивает его к себе, целуя в волосы от того, что ведет в их страсти, подчиняет Локи себе каждым ударом бедер.",издавать рваный стон намджун резко толкаться проходиться головка нежный кожа поттер стонать потерпевший хватать драко вихор затылок притягивать целовать волос вести страсть подчинять локи каждый удар бедро
